night,adverse_weather,peak_hour,high_severity
0,0,0,0.1560096075822
0,0,1,0.15777840671707166
0,1,0,0.19632332304238
0,1,1,0.18413723961234266
1,0,0,0.13677444706410688
1,1,0,0.15914152662482284
